year	month	date	average	trend	ndays	stdev	unc
1959	1	1959-01-31	315.58	315.55	-1	-9.99	-0.99
1959	2	1959-02-28	316.48	315.86	-1	-9.99	-0.99
1959	3	1959-03-31	316.65	315.38	-1	-9.99	-0.99
1959	4	1959-04-30	317.72	315.41	-1	-9.99	-0.99
1959	5	1959-05-31	318.29	315.49	-1	-9.99	-0.99
1959	6	1959-06-30	318.15	316.03	-1	-9.99	-0.99
1959	7	1959-07-31	316.54	315.86	-1	-9.99	-0.99
1959	8	1959-08-31	314.8	316.06	-1	-9.99	-0.99
1959	9	1959-09-30	313.84	316.73	-1	-9.99	-0.99
1959	10	1959-10-31	313.33	316.33	-1	-9.99	-0.99
1959	11	1959-11-30	314.81	316.68	-1	-9.99	-0.99
1959	12	1959-12-31	315.58	316.35	-1	-9.99	-0.99
1960	1	1960-01-31	316.43	316.4	-1	-9.99	-0.99
1960	2	1960-02-29	316.98	316.36	-1	-9.99	-0.99
1960	3	1960-03-31	317.58	316.28	-1	-9.99	-0.99
1960	4	1960-04-30	319.03	316.7	-1	-9.99	-0.99
1960	5	1960-05-31	320.04	317.22	-1	-9.99	-0.99
1960	6	1960-06-30	319.59	317.47	-1	-9.99	-0.99
1960	7	1960-07-31	318.18	317.52	-1	-9.99	-0.99
1960	8	1960-08-31	315.9	317.19	-1	-9.99	-0.99
1960	9	1960-09-30	314.17	317.08	-1	-9.99	-0.99
1960	10	1960-10-31	313.83	316.83	-1	-9.99	-0.99
1960	11	1960-11-30	315	316.88	-1	-9.99	-0.99
1960	12	1960-12-31	316.19	316.96	-1	-9.99	-0.99
1961	1	1961-01-31	316.89	316.86	-1	-9.99	-0.99
1961	2	1961-02-28	317.7	317.08	-1	-9.99	-0.99
1961	3	1961-03-31	318.54	317.26	-1	-9.99	-0.99
1961	4	1961-04-30	319.48	317.16	-1	-9.99	-0.99
1961	5	1961-05-31	320.58	317.76	-1	-9.99	-0.99
1961	6	1961-06-30	319.77	317.63	-1	-9.99	-0.99
1961	7	1961-07-31	318.57	317.88	-1	-9.99	-0.99
1961	8	1961-08-31	316.79	318.06	-1	-9.99	-0.99
1961	9	1961-09-30	314.99	317.9	-1	-9.99	-0.99
1961	10	1961-10-31	315.31	318.32	-1	-9.99	-0.99
1961	11	1961-11-30	316.1	317.99	-1	-9.99	-0.99
1961	12	1961-12-31	317.01	317.79	-1	-9.99	-0.99
