siteCode,siteName,type,terrain,domainCode,stateCode,latitude,longitude
ABBY,"Abby Road NEON",GRADIENT,TERRESTRIAL,D16,WA,45.76244,-122.33032
ARIK,"Arikaree River NEON",CORE,AQUATIC,D10,CO,39.75821,-102.44715
BART,"Bartlett Experimental Forest NEON",GRADIENT,TERRESTRIAL,D01,NH,44.06389,-71.28737
BLWA,"Black Warrior River NEON",GRADIENT,AQUATIC,D08,AL,32.54153,-87.79815
BLDE,"Blacktail Deer Creek NEON",CORE,AQUATIC,D12,WY,44.95011,-110.58715
BLAN,"Blandy Experimental Farm NEON",GRADIENT,TERRESTRIAL,D02,VA,39.03370,-78.04179
BLUE,"Blue River NEON",GRADIENT,AQUATIC,D11,OK,34.44422,-96.62420
CARI,"Caribou Creek NEON",CORE,AQUATIC,D19,AK,65.15322,-147.50397
BONA,"Caribou-Poker Creeks Research Watershed NEON",CORE,TERRESTRIAL,D19,AK,65.15401,-147.50258
CPER,"Central Plains Experimental Range NEON",CORE,TERRESTRIAL,D10,CO,40.81554,-104.74559
WOOD,"Chase Lake National Wildlife Refuge NEON",CORE,TERRESTRIAL,D09,ND,47.12820,-99.24133
COMO,"Como Creek NEON",CORE,AQUATIC,D13,CO,40.03496,-105.54416
CRAM,"Crampton Lake NEON",CORE,AQUATIC,D05,WI,46.20967,-89.47369
DCFS,"Dakota Coteau Field  NEON",GRADIENT,TERRESTRIAL,D09,ND,47.16165,-99.10656
DELA,"Dead Lake NEON",GRADIENT,TERRESTRIAL,D08,AL,32.54173,-87.80388
DEJU,"Delta Junction NEON",GRADIENT,TERRESTRIAL,D19,AK,63.88112,-145.75136
DSNY,"Disney Wilderness Preserve NEON",GRADIENT,TERRESTRIAL,D03,FL,28.12505,-81.43619
FLNT,"Flint River NEON",GRADIENT,AQUATIC,D03,GA,31.18542,-84.43740
GRSM,"Great Smoky Mountains National Park NEON",GRADIENT,TERRESTRIAL,D07,TN,35.68896,-83.50195
GUAN,"Guanica Forest NEON",CORE,TERRESTRIAL,D04,PR,17.96955,-66.86870
HARV,"Harvard Forest & Quabbin Watershed NEON",CORE,TERRESTRIAL,D01,MA,42.53691,-72.17265
HEAL,"Healy NEON",GRADIENT,TERRESTRIAL,D19,AK,63.87580,-149.21335
JORN,"Jornada Experimental Range NEON",GRADIENT,TERRESTRIAL,D14,NM,32.59069,-106.84254
UKFS,"KU Field Station NEON",GRADIENT,TERRESTRIAL,D06,KS,39.04043,-95.19215
KING,"Kings Creek NEON",CORE,AQUATIC,D06,KS,39.10506,-96.60383
KONA,"Konza Prairie Agroecosystem NEON",GRADIENT,TERRESTRIAL,D06,KS,39.11045,-96.61293
KONZ,"Konza Prairie Biological Station NEON",CORE,TERRESTRIAL,D06,KS,39.10077,-96.56307
LAJA,"Lajas Experimental Station NEON",GRADIENT,TERRESTRIAL,D04,PR,18.02126,-67.07689
BARC,"Lake Barco NEON",CORE,AQUATIC,D03,FL,29.67598,-82.00841
SUGG,"Lake Suggs NEON",CORE,AQUATIC,D03,FL,29.68778,-82.01775
LECO,"LeConte Creek NEON",GRADIENT,AQUATIC,D07,TN,35.69043,-83.50379
LENO,"Lenoir Landing NEON",GRADIENT,TERRESTRIAL,D08,AL,31.85386,-88.16118
LEWI,"Lewis Run NEON",GRADIENT,AQUATIC,D02,VA,39.09564,-77.98322
LIRO,"Little Rock Lake NEON",GRADIENT,AQUATIC,D05,WI,45.99827,-89.70477
HOPB,"Lower Hop Brook NEON",CORE,AQUATIC,D01,MA,42.47194,-72.32953
TEAK,"Lower Teakettle NEON",GRADIENT,TERRESTRIAL,D17,CA,37.00583,-119.00602
