date	extent
1979-07-31	16.52
1980-07-31	15.56
1981-07-31	16.04
1982-07-31	15.87
1983-07-31	15.47
1984-07-31	16.4
1985-07-31	15.72
1986-07-31	15.32
1987-07-31	15.75
1988-07-31	15.75
1989-07-31	15.71
1990-07-31	15.57
1991-07-31	15.55
1992-07-31	15.89
1993-07-31	15.85
1994-07-31	16.3
1995-07-31	15.74
1996-07-31	16.12
1997-07-31	15.92
1998-07-31	15.96
1999-07-31	16.28
2000-07-31	16.1
2001-07-31	15.85
2002-07-31	15.41
2003-07-31	16.4
2004-07-31	16.33
2005-07-31	16.16
2006-07-31	16.11
2007-07-31	15.96
2008-07-31	16.09
2009-07-31	16.26
2010-07-31	16.92
2011-07-31	15.75
2012-07-31	16.3
2013-07-31	16.81
2014-07-31	17.11
2015-07-31	16.78
2016-07-31	16.02
2017-07-31	15.3
2018-07-31	15.7
2019-07-31	15.3
2020-07-31	15.72
2021-07-31	16.38
