date	extent
1979-07-31	10.31
1980-07-31	10.1
1981-07-31	10.27
1982-07-31	10.37
1983-07-31	10.57
1984-07-31	9.98
1985-07-31	9.74
1986-07-31	10.15
1987-07-31	10.33
1988-07-31	9.81
1989-07-31	10.13
1990-07-31	9.25
1991-07-31	9.51
1992-07-31	10.32
1993-07-31	9.48
1994-07-31	9.93
1995-07-31	8.99
1996-07-31	10.16
1997-07-31	9.41
1998-07-31	9.42
1999-07-31	9.49
2000-07-31	9.51
2001-07-31	9.07
2002-07-31	9.27
2003-07-31	9.21
2004-07-31	9.43
2005-07-31	8.65
2006-07-31	8.46
2007-07-31	7.94
2008-07-31	8.68
2009-07-31	8.47
2010-07-31	8.07
2011-07-31	7.72
2012-07-31	7.67
2013-07-31	8.13
2014-07-31	8.11
2015-07-31	8.38
2016-07-31	7.94
2017-07-31	7.94
2018-07-31	8.27
2019-07-31	7.59
2020-07-31	7.29
2021-07-31	7.69
