Animal_ID	Site	Species	Sex	Observed_Stage	PCL	FL	STL	Fin_Clip	Hook_Size	Set	Day	Month	Year	Estimated_Stage
38	Redfish_Bay	Carcharhinus_brevipinna	U	UND	NA	NA	NA	NA	15	2	16	6	2016	UND
75	Corpus_Christi_Bay	Sphyrna_tiburo	U	UND	NA	NA	NA	NA	10	1	27	9	2016	UND
98	Aransas_Bay	Carcharhinus_brevipinna	F	UND	NA	NA	NA	NA	10	4	11	7	2017	UND
129	Corpus_Christi_Bay	Carcharhinus_brevipinna	U	UND	NA	NA	NA	NA	10	2	30	8	2018	UND
12	Aransas_Bay	Carcharhinus_brevipinna	F	NA	513	568	705	A9	10	2	25	8	2015	YOY
13	Aransas_Bay	Carcharhinus_brevipinna	F	NA	545	602	757	B1	10	2	25	8	2015	YOY
14	Aransas_Bay	Carcharhinus_brevipinna	F	NA	560	610	770	NA	10	2	25	8	2015	YOY
15	Aransas_Bay	Carcharhinus_brevipinna	F	NA	556	615	770	B2	15	2	25	8	2015	YOY
16	Aransas_Bay	Carcharhinus_brevipinna	F	NA	580	637	790	A10	10	2	25	8	2015	YOY
23	Redfish_Bay	Carcharhinus_brevipinna	M	NA	575	642	788	NA	10	3	8	9	2015	YOY
27	Aransas_Bay	Carcharhinus_brevipinna	F	NA	590	660	814	C3	10	1	22	9	2015	YOY
29	Aransas_Bay	Carcharhinus_brevipinna	M	NA	574	640	792	C4	10	3	22	9	2015	YOY
50	Corpus_Christi_Bay	Carcharhinus_brevipinna	M	NA	500	542	696	49	10	3	21	7	2016	YOY
53	Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	546	605	764	21	15	4	21	7	2016	YOY
63	Corpus_Christi_Bay	Carcharhinus_brevipinna	M	NA	464	600	820	28	10	1	12	9	2016	YOY
64	Corpus_Christi_Bay	Carcharhinus_brevipinna	M	NA	585	655	820	32	10	2	12	9	2016	YOY
65	Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	595	651	835	29	10	2	12	9	2016	YOY
78	Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	600	670	835	36	15	4	27	9	2016	YOY
88	Aransas_Bay	Carcharhinus_brevipinna	F	NA	484	538	694	42	10	4	22	6	2017	YOY
89	Corpus_Christi_Bay	Carcharhinus_brevipinna	M	NA	605	628	685	43	10	2	6	7	2017	YOY
91	Corpus_Christi_Bay	Carcharhinus_brevipinna	M	NA	514	566	714	47	15	4	6	7	2017	YOY
92	Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	520	574	720	46	15	4	6	7	2017	YOY
93	Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	530	585	726	45	10	4	6	7	2017	YOY
94	Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	510	560	696	19	15	5	6	7	2017	YOY
95	Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	515	565	709	48	10	5	6	7	2017	YOY
96	Aransas_Bay	Carcharhinus_brevipinna	F	NA	500	549	690	60	15	3	11	7	2017	YOY
97	Aransas_Bay	Carcharhinus_brevipinna	F	NA	535	590	736	61	15	3	11	7	2017	YOY
100	Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	540	596	749	71	10	1	21	8	2017	YOY
101	Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	578	635	760	74	10	1	21	8	2017	YOY
103	Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	585	645	823	73	15	1	21	8	2017	YOY
108	Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	590	650	875	81	10	3	21	8	2017	YOY
110	Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	589	650	848	80	15	4	21	8	2017	YOY
111	Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	610	670	850	79	10	4	21	8	2017	YOY
112	Redfish_Bay	Carcharhinus_brevipinna	F	NA	610	670	870	88	10	4	13	9	2017	YOY
113	Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	601	668	805	90	10	1	20	9	2017	YOY
114	Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	614	680	800	89	10	1	20	9	2017	YOY
115	Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	540	597	750	91	10	2	20	9	2017	YOY
118	Redfish_Bay	Carcharhinus_brevipinna	M	NA	660	722	880	94	10	1	20	10	2017	YOY
119	Redfish_Bay	Carcharhinus_brevipinna	F	NA	613	670	740	95	15	3	20	10	2017	YOY
120	Corpus_Christi_Bay	Carcharhinus_brevipinna	M	NA	635	699	860	97	15	1	25	10	2017	YOY
121	Aransas_Bay	Carcharhinus_brevipinna	F	NA	434	489	611	211	10	1	15	5	2018	YOY
123	Corpus_Christi_Bay	Carcharhinus_brevipinna	M	NA	505	550	701	101	10	2	3	7	2018	YOY
127	Corpus_Christi_Bay	Carcharhinus_brevipinna	M	NA	555	517	765	151	10	2	30	8	2018	YOY
128	Corpus_Christi_Bay	Carcharhinus_brevipinna	M	NA	565	610	770	156	15	2	30	8	2018	YOY
131	Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	560	625	780	153	10	3	30	8	2018	YOY
132	Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	560	620	780	155	15	3	30	8	2018	YOY
133	Corpus_Christi_Bay	Carcharhinus_brevipinna	M	NA	600	660	830	158	10	1	25	9	2018	YOY
134	Corpus_Christi_Bay	Carcharhinus_brevipinna	M	NA	570	630	784	159	15	2	25	9	2018	YOY
136	Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	570	639	800	165	10	1	2	10	2018	YOY
137	Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	596	663	830	163	15	1	2	10	2018	YOY
138	Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	620	683	845	160	10	1	2	10	2018	YOY
139	Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	615	680	852	162	15	1	2	10	2018	YOY
140	Corpus_Christi_Bay	Carcharhinus_brevipinna	M	NA	626	690	865	164	10	1	2	10	2018	YOY
142	Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	605	667	835	167	15	2	2	10	2018	YOY
144	Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	555	615	765	172	10	3	2	10	2018	YOY
145	Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	585	647	807	169	15	3	2	10	2018	YOY
146	Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	585	654	807	170	15	3	2	10	2018	YOY
147	Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	590	648	816	171	10	3	2	10	2018	YOY
148	Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	535	595	745	174	10	4	2	10	2018	YOY
149	Corpus_Christi_Bay	Carcharhinus_brevipinna	M	NA	600	660	828	173	10	4	2	10	2018	YOY
150	Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	610	675	839	177	10	4	2	10	2018	YOY
151	Corpus_Christi_Bay	Carcharhinus_brevipinna	M	NA	615	680	842	176	15	4	2	10	2018	YOY
152	Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	635	700	876	178	10	4	2	10	2018	YOY
153	Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	641	704	880	175	10	4	2	10	2018	YOY
154	Redfish_Bay	Carcharhinus_brevipinna	F	NA	544	600	747	182	15	4	4	10	2018	YOY
155	Redfish_Bay	Carcharhinus_brevipinna	M	NA	590	655	810	179	10	4	4	10	2018	YOY
156	Redfish_Bay	Carcharhinus_brevipinna	F	NA	590	650	810	180	10	4	4	10	2018	YOY
157	Redfish_Bay	Carcharhinus_brevipinna	M	NA	605	670	828	181	10	4	4	10	2018	YOY
36	Redfish_Bay	Carcharhinus_brevipinna	F	NA	812	900	1090	8	15	1	16	6	2016	JUV
37	Redfish_Bay	Carcharhinus_brevipinna	M	NA	792	882	1092	9	15	2	16	6	2016	JUV
56	Redfish_Bay	Carcharhinus_brevipinna	M	NA	740	820	1020	23	10	4	1	8	2016	JUV
6	Corpus_Christi_Bay	Carcharhinus_leucas	F	NA	609	670	820	A2	15	1	30	7	2015	YOY
