Year	Type
1950	LaNina
1951	Neutral
1952	Neutral
1953	Neutral
1954	LaNina
1955	LaNina
1956	LaNina
1957	ElNino
1958	Neutral
1959	Neutral
1960	Neutral
1961	Neutral
1962	LaNina
1963	Neutral
1964	LaNina
1965	ElNino
1966	Neutral
1967	Neutral
1968	Neutral
1969	Neutral
1970	LaNina
1971	LaNina
1972	ElNino
1973	LaNina
1974	LaNina
1975	LaNina
1976	Neutral
1977	Neutral
1978	Neutral
1979	Neutral
1980	Neutral
1981	Neutral
1982	ElNino
1983	ElNino
1984	Neutral
1985	Neutral
1986	Neutral
1987	ElNino
1988	LaNina
1989	Neutral
1990	Neutral
1991	ElNino
1992	ElNino
1993	ElNino
1994	Neutral
1995	Neutral
1996	Neutral
1997	ElNino
1998	ElNino
1999	LaNina
2000	Neutral
2001	Neutral
2002	ElNino
2003	Neutral
2004	Neutral
2005	Neutral
2006	Neutral
2007	Neutral
2008	Neutral
2009	Neutral
2010	LaNina
2011	LaNina
2012	Neutral
2013	Neutral
2014	Neutral
2015	ElNino
2016	ElNino
2017	Neutral
