Year	RevisedNamedStorms	RevisedHurricanes	RevisedMajorHurricanes	RevisedACE	RevisedUShurricanes
1851	6	3	1	36	2
1852	5	5	1	73	4
1853	8	4	2	76	1
1854	5	3	1	31	3
1855	5	4	1	18	1
1856	6	4	2	49	2
1857	4	3	0	40	1
1858	6	6	0	45	1
1859	8	7	1	56	2
1860	7	6	1	62	3
1861	8	6	0	50	3
1862	6	3	0	46	0
1863	9	5	0	50	0
1864	5	3	0	27	0
1865	7	3	0	49	2
1866	7	6	1	84	1
1867	9	7	1	60	2
1868	4	3	0	35	0
1869	10	7	1	51	4
1870	11	10	2	88	3
1871	8	6	2	88	3
1872	5	4	0	65	0
1873	5	3	2	69	2
1874	7	4	0	47	1
1875	6	5	1	72	1
1876	5	4	2	57	2
1877	8	3	1	73	2
1878	12	10	2	181	2
1879	8	6	2	64	3
1880	11	9	2	131	4
1881	7	4	0	59	2
1882	6	4	2	59	2
1883	4	3	2	67	1
1884	4	4	1	72	0
1885	8	6	0	58	1
1886	12	10	4	166	7
1887	19	11	2	181	4
1888	9	6	2	85	3
1889	9	6	0	104	1
1890	4	2	1	33	0
1891	10	7	1	116	2
1892	9	5	0	116	0
1893	12	10	5	231	5
1894	7	5	4	135	2
1895	6	2	0	69	1
1896	7	6	2	136	3
1897	6	3	0	55	1
1898	11	5	1	113	3
1899	10	5	2	151	3
1900	7	3	2	83	1
1901	13	6	0	99	2
1902	5	3	0	33	0
1903	10	7	1	102	2
1904	6	4	0	30	2
1905	5	1	1	28	0
1906	11	6	3	163	4
1907	5	0	0	13	0
1908	10	6	1	95	1
1909	12	6	4	93	5
1910	5	3	1	64	2
1911	6	3	0	35	2
1912	7	4	1	57	2
1913	6	4	0	36	3
1914	1	0	0	3	0
1915	6	5	3	130	4
1916	15	10	5	144	4
1917	4	2	2	61	1
1918	6	4	1	40	2
1919	5	2	1	55	1
1920	5	4	0	30	1
1921	7	5	2	87	2
1922	5	3	1	55	0
1923	9	4	1	49	1
1924	11	5	2	100	3
1925	4	1	0	7	0
1926	11	8	6	230	4
1927	8	4	1	56	0
1928	6	4	1	83	2
1929	5	3	1	48	2
1930	3	2	2	50	0
1931	13	3	1	48	0
1932	15	6	4	170	2
1933	20	11	6	259	5
1934	13	7	1	48	3
1935	8	5	3	106	2
1936	17	7	1	100	3
1937	11	4	1	66	0
1938	9	4	2	78	2
1939	6	3	1	34	1
1940	9	6	0	68	2
1941	6	4	3	52	2
1942	11	4	1	63	2
1943	10	5	2	94	1
1944	14	8	3	104	3
1945	11	5	2	63	3
1946	7	3	0	20	1
1947	10	5	2	88	3
1948	10	6	4	95	3
1949	16	7	2	96	3
1950	16	11	6	211	3
1951	12	8	3	126	0
1952	11	5	2	69	1
1953	14	7	3	99	3
1954	16	7	3	111	3
1955	13	9	4	158	2
1956	12	4	1	57	1
1957	8	3	2	79	1
1958	12	7	3	110	1
1959	14	7	2	77	3
1960	8	4	2	73	2
1961	12	8	5	189	1
1962	7	4	0	50	0
1963	10	7	3	113	0
1964	13	7	5	153	4
1965	10	4	1	88	1
1966	11	7	3	145	2
1967	8	6	1	122	1
1968	8	4	0	45	1
1969	18	12	5	166	2
1970	10	5	2	40	1
1971	13	6	1	97	3
1972	7	3	0	36	1
1973	8	4	1	48	0
1974	11	4	2	68	1
1975	9	6	3	76	1
1976	10	6	2	84	1
1977	6	5	1	25	1
1978	12	5	2	63	0
1979	9	5	2	93	3
1980	11	9	2	149	1
1981	12	7	3	100	0
1982	6	2	1	32	0
1983	4	3	1	17	1
1984	13	5	1	84	1
1985	11	7	3	88	6
1986	6	4	0	36	2
1987	7	3	1	34	1
1988	12	5	3	103	1
1989	11	7	2	135	3
1990	14	8	1	97	0
1991	8	4	2	36	1
1992	7	4	1	76	1
1993	8	4	1	39	1
1994	7	3	0	32	0
1995	19	11	5	228	2
1996	13	9	6	166	2
1997	8	3	1	41	1
1998	14	10	3	182	3
1999	12	8	5	177	3
2000	15	8	3	119	0
2001	15	9	4	110	0
2002	12	4	2	67	1
2003	16	7	3	176	2
2004	15	9	6	227	6
2005	28	15	7	250	6
2006	10	5	2	79	0
2007	15	6	2	74	1
2008	16	8	5	146	3
2009	9	3	2	53	0
2010	19	12	5	165	0
2011	19	7	4	126	1
2012	19	10	2	129	2
2013	14	2	0	36	0
2014	8	6	2	67	1
2015	11	4	2	63	0
2016	15	7	4	141	2
2017	17	10	6	223	3
2018	15	8	2	132	2
