Site	Species	Sex	Observed_Stage	PCL	FL	STL	Hook_Size	Set	Day	Month	Year
Aransas_Bay	Bagre_marinus	U			287	353	10	1	28	7	2015
Aransas_Bay	Bagre_marinus	U			425	495	10	1	28	7	2015
Aransas_Bay	Bagre_marinus	U			416	502	15	1	28	7	2015
Aransas_Bay	Bagre_marinus	U			416	507	10	1	28	7	2015
Aransas_Bay	Bagre_marinus	U			418	510	15	1	28	7	2015
Aransas_Bay	Bagre_marinus	U			434	515	10	1	28	7	2015
Aransas_Bay	Bagre_marinus	U			427	520	15	1	28	7	2015
Aransas_Bay	Bagre_marinus	U			446	532	10	1	28	7	2015
Aransas_Bay	Bagre_marinus	U			465	538	10	1	28	7	2015
Aransas_Bay	Bagre_marinus	U			450	539	10	1	28	7	2015
Aransas_Bay	Bagre_marinus	U			496	565	10	1	28	7	2015
Aransas_Bay	Bagre_marinus	U			476	569	10	1	28	7	2015
Aransas_Bay	Bagre_marinus	U			495	570	10	1	28	7	2015
Aransas_Bay	Bagre_marinus	U			490	575	10	1	28	7	2015
Aransas_Bay	Bagre_marinus	U			486	581	10	1	28	7	2015
Aransas_Bay	Bagre_marinus	U			503	589	10	1	28	7	2015
Aransas_Bay	Bagre_marinus	U			489	590	10	1	28	7	2015
Aransas_Bay	Bagre_marinus	U			285	314	10	2	28	7	2015
Aransas_Bay	Bagre_marinus	U			420	500	10	2	28	7	2015
Aransas_Bay	Bagre_marinus	U			430	524	10	2	28	7	2015
Aransas_Bay	Bagre_marinus	U			508	595	10	2	28	7	2015
Aransas_Bay	Bagre_marinus	U			530	613	10	2	28	7	2015
Aransas_Bay	Bagre_marinus	U			394	459	10	3	28	7	2015
Aransas_Bay	Bagre_marinus	U			399	475	10	3	28	7	2015
Aransas_Bay	Bagre_marinus	U			398	480	10	3	28	7	2015
Aransas_Bay	Bagre_marinus	U			390	482	10	3	28	7	2015
Aransas_Bay	Bagre_marinus	U			411	493	10	3	28	7	2015
Aransas_Bay	Bagre_marinus	U			416	506	10	3	28	7	2015
Aransas_Bay	Bagre_marinus	U			505	583	10	3	28	7	2015
Aransas_Bay	Bagre_marinus	U			354	452	10	4	28	7	2015
Aransas_Bay	Bagre_marinus	U			383	455	10	4	28	7	2015
Aransas_Bay	Bagre_marinus	U			385	461	10	4	28	7	2015
Aransas_Bay	Bagre_marinus	U			398	488	10	4	28	7	2015
Aransas_Bay	Bagre_marinus	U			420	494	15	4	28	7	2015
Aransas_Bay	Bagre_marinus	U			432	512	10	4	28	7	2015
Aransas_Bay	Bagre_marinus	U			424	515	10	4	28	7	2015
Aransas_Bay	Bagre_marinus	U			440	540	10	4	28	7	2015
Aransas_Bay	Bagre_marinus	U			457	556	10	4	28	7	2015
Aransas_Bay	Bagre_marinus	U			496	588	15	4	28	7	2015
Redfish_Bay	Bagre_marinus	U			351	428	10	1	29	7	2015
Redfish_Bay	Bagre_marinus	U			409	483	10	1	29	7	2015
Redfish_Bay	Bagre_marinus	U			409	495	10	1	29	7	2015
Redfish_Bay	Bagre_marinus	U			419	510	10	1	29	7	2015
Redfish_Bay	Bagre_marinus	U			425	510	10	1	29	7	2015
Redfish_Bay	Bagre_marinus	U			411	515	10	1	29	7	2015
Redfish_Bay	Bagre_marinus	U			427	516	10	1	29	7	2015
Redfish_Bay	Bagre_marinus	U			428	522	10	1	29	7	2015
Redfish_Bay	Bagre_marinus	U			440	523	10	1	29	7	2015
Redfish_Bay	Bagre_marinus	U			445	527	15	1	29	7	2015
Redfish_Bay	Bagre_marinus	U			456	536	10	1	29	7	2015
Redfish_Bay	Bagre_marinus	U			455	536	10	1	29	7	2015
Redfish_Bay	Bagre_marinus	U			453	545	10	1	29	7	2015
Redfish_Bay	Bagre_marinus	U			462	549	10	1	29	7	2015
Redfish_Bay	Bagre_marinus	U			468	550	15	1	29	7	2015
Redfish_Bay	Bagre_marinus	U			463	551	10	1	29	7	2015
Redfish_Bay	Bagre_marinus	U			470	554	10	1	29	7	2015
Redfish_Bay	Bagre_marinus	U			456	556	10	1	29	7	2015
Redfish_Bay	Bagre_marinus	U			480	556	10	1	29	7	2015
Redfish_Bay	Bagre_marinus	U			480	563	10	1	29	7	2015
Redfish_Bay	Bagre_marinus	U			481	571	10	1	29	7	2015
Redfish_Bay	Bagre_marinus	U			498	576	15	1	29	7	2015
Redfish_Bay	Bagre_marinus	U			534	621	10	1	29	7	2015
Redfish_Bay	Bagre_marinus	U			564	651	15	1	29	7	2015
Redfish_Bay	Bagre_marinus	U			395	467	10	2	29	7	2015
Redfish_Bay	Bagre_marinus	U			420	490	15	2	29	7	2015
Redfish_Bay	Bagre_marinus	U			414	494	10	2	29	7	2015
Redfish_Bay	Bagre_marinus	U			431	505	10	2	29	7	2015
Redfish_Bay	Bagre_marinus	U			423	517	10	2	29	7	2015
Redfish_Bay	Bagre_marinus	U			448	518	10	2	29	7	2015
Redfish_Bay	Bagre_marinus	U			448	530	10	2	29	7	2015
Redfish_Bay	Bagre_marinus	U			454	534	10	2	29	7	2015
Redfish_Bay	Bagre_marinus	U			465	540	15	2	29	7	2015
Redfish_Bay	Bagre_marinus	U			460	545	15	2	29	7	2015
Redfish_Bay	Bagre_marinus	U			450	550	10	2	29	7	2015
Redfish_Bay	Bagre_marinus	U			485	560	10	2	29	7	2015
Redfish_Bay	Bagre_marinus	U			478	560	10	2	29	7	2015
Redfish_Bay	Bagre_marinus	U			485	570	10	2	29	7	2015
Redfish_Bay	Bagre_marinus	U			495	580	10	2	29	7	2015
Redfish_Bay	Bagre_marinus	U			520	590	10	2	29	7	2015
Redfish_Bay	Bagre_marinus	U			510	600	10	2	29	7	2015
Redfish_Bay	Bagre_marinus	U					10	2	29	7	2015
Redfish_Bay	Bagre_marinus	U			400	475	10	4	29	7	2015
Redfish_Bay	Bagre_marinus	U			422	504	10	4	29	7	2015
Redfish_Bay	Bagre_marinus	U			340	510	10	4	29	7	2015
Redfish_Bay	Bagre_marinus	U			424	510	10	4	29	7	2015
Redfish_Bay	Bagre_marinus	U			444	526	10	4	29	7	2015
Redfish_Bay	Bagre_marinus	U			480	550	10	4	29	7	2015
Redfish_Bay	Bagre_marinus	U			488	559	10	4	29	7	2015
Redfish_Bay	Bagre_marinus	U			480	573	10	4	29	7	2015
Redfish_Bay	Bagre_marinus	U			496	575	10	4	29	7	2015
Redfish_Bay	Bagre_marinus	U			508	595	15	4	29	7	2015
Corpus_Christi_Bay	Bagre_marinus	U			299	348	10	1	30	7	2015
Corpus_Christi_Bay	Bagre_marinus	U			378	465	10	1	30	7	2015
Corpus_Christi_Bay	Bagre_marinus	U			394	469	10	1	30	7	2015
Corpus_Christi_Bay	Bagre_marinus	U			421	481	10	1	30	7	2015
Corpus_Christi_Bay	Bagre_marinus	U			404	483	10	1	30	7	2015
Corpus_Christi_Bay	Bagre_marinus	U			412	484	15	1	30	7	2015
Corpus_Christi_Bay	Bagre_marinus	U			400	490	10	1	30	7	2015
Corpus_Christi_Bay	Bagre_marinus	U			418	504	15	1	30	7	2015
Corpus_Christi_Bay	Bagre_marinus	U			448	535	10	1	30	7	2015
Corpus_Christi_Bay	Bagre_marinus	U			461	547	10	1	30	7	2015
Corpus_Christi_Bay	Bagre_marinus	U			467	560	10	1	30	7	2015
Corpus_Christi_Bay	Bagre_marinus	U			440	577	10	1	30	7	2015
Corpus_Christi_Bay	Bagre_marinus	U			297	367	10	2	30	7	2015
Corpus_Christi_Bay	Bagre_marinus	U			365	434	10	2	30	7	2015
Corpus_Christi_Bay	Bagre_marinus	U			340	474	10	2	30	7	2015
Corpus_Christi_Bay	Bagre_marinus	U			415	494	10	2	30	7	2015
Corpus_Christi_Bay	Bagre_marinus	U			430	510	10	2	30	7	2015
Corpus_Christi_Bay	Bagre_marinus	U			460	530	10	2	30	7	2015
Corpus_Christi_Bay	Bagre_marinus	U			460	543	10	2	30	7	2015
Corpus_Christi_Bay	Bagre_marinus	U			460	546	10	2	30	7	2015
Corpus_Christi_Bay	Bagre_marinus	U			477	577	15	2	30	7	2015
Corpus_Christi_Bay	Bagre_marinus	U			524	584	10	2	30	7	2015
Corpus_Christi_Bay	Bagre_marinus	U			510	606	10	2	30	7	2015
Corpus_Christi_Bay	Bagre_marinus	U					10	2	30	7	2015
Corpus_Christi_Bay	Bagre_marinus	U			298	362	10	3	30	7	2015
Corpus_Christi_Bay	Bagre_marinus	U			431	505	10	3	30	7	2015
Corpus_Christi_Bay	Bagre_marinus	U			427	520	10	3	30	7	2015
Corpus_Christi_Bay	Bagre_marinus	U			440	525	10	3	30	7	2015
Corpus_Christi_Bay	Bagre_marinus	U			468	546	10	3	30	7	2015
Corpus_Christi_Bay	Bagre_marinus	U			456	548	10	3	30	7	2015
Corpus_Christi_Bay	Bagre_marinus	U			468	559	10	3	30	7	2015
Corpus_Christi_Bay	Bagre_marinus	U			405	484	10	4	30	7	2015
Corpus_Christi_Bay	Bagre_marinus	U			439	517	10	4	30	7	2015
Corpus_Christi_Bay	Bagre_marinus	U			455	522	10	4	30	7	2015
Corpus_Christi_Bay	Bagre_marinus	U			460	546	15	4	30	7	2015
Corpus_Christi_Bay	Bagre_marinus	U			468	556	10	4	30	7	2015
Corpus_Christi_Bay	Bagre_marinus	U			514	587	10	4	30	7	2015
Corpus_Christi_Bay	Bagre_marinus	U			495	594	10	4	30	7	2015
Corpus_Christi_Bay	Bagre_marinus	U			460		10	4	30	7	2015
Corpus_Christi_Bay	Bagre_marinus	U			420	470	10	1	24	8	2015
Corpus_Christi_Bay	Bagre_marinus	U			440	535	15	1	24	8	2015
Corpus_Christi_Bay	Bagre_marinus	U			450	540	10	1	24	8	2015
Corpus_Christi_Bay	Bagre_marinus	U			290	350	10	2	24	8	2015
Corpus_Christi_Bay	Bagre_marinus	U			444	530	10	2	24	8	2015
Corpus_Christi_Bay	Bagre_marinus	U			460	555	10	2	24	8	2015
Corpus_Christi_Bay	Bagre_marinus	U			575	640	10	2	24	8	2015
Corpus_Christi_Bay	Bagre_marinus	U			390	460	10	4	24	8	2015
Corpus_Christi_Bay	Bagre_marinus	U			400	500	10	4	24	8	2015
Corpus_Christi_Bay	Bagre_marinus	U			480	580	10	4	24	8	2015
Aransas_Bay	Bagre_marinus	U			345	460		3	25	8	2015
Aransas_Bay	Bagre_marinus	U			415	470	10	4	25	8	2015
Aransas_Bay	Bagre_marinus	U			425	500	10	4	25	8	2015
Aransas_Bay	Bagre_marinus	U			420	500	10	4	25	8	2015
Aransas_Bay	Bagre_marinus	U			430	500	15	4	25	8	2015
Aransas_Bay	Bagre_marinus	U			440	510	10	4	25	8	2015
Aransas_Bay	Bagre_marinus	U			420	510	10	4	25	8	2015
Aransas_Bay	Bagre_marinus	U			460	530	10	4	25	8	2015
Aransas_Bay	Bagre_marinus	U			460	540	10	4	25	8	2015
Redfish_Bay	Bagre_marinus	U			440	520	10	1	8	9	2015
Redfish_Bay	Bagre_marinus	U			476	562	10	1	8	9	2015
Redfish_Bay	Bagre_marinus	U			254	284	10	4	8	9	2015
Redfish_Bay	Bagre_marinus	U			310	381	10	4	8	9	2015
Redfish_Bay	Bagre_marinus	U			375	450	10	4	8	9	2015
Redfish_Bay	Bagre_marinus	U			380	466	10	4	8	9	2015
Redfish_Bay	Bagre_marinus	U			413	480	10	4	8	9	2015
Redfish_Bay	Bagre_marinus	U			406	493	10	4	8	9	2015
Redfish_Bay	Bagre_marinus	U			435	500	10	4	8	9	2015
Redfish_Bay	Bagre_marinus	U			429	510	10	4	8	9	2015
Redfish_Bay	Bagre_marinus	U			449	541	15	4	8	9	2015
Redfish_Bay	Bagre_marinus	U			478	552	10	4	8	9	2015
Redfish_Bay	Bagre_marinus	U			494	561	15	4	8	9	2015
Aransas_Bay	Bagre_marinus	U			410	478	10	1	22	9	2015
Aransas_Bay	Bagre_marinus	U			419	494	10	1	22	9	2015
Aransas_Bay	Bagre_marinus	U			426	498	10	1	22	9	2015
Aransas_Bay	Bagre_marinus	U			342	411	10	2	22	9	2015
Aransas_Bay	Bagre_marinus	U			407	497	15	2	22	9	2015
Aransas_Bay	Bagre_marinus	U			427	503	10	2	22	9	2015
Aransas_Bay	Bagre_marinus	U			421	504	10	2	22	9	2015
Aransas_Bay	Bagre_marinus	U			436	521	10	2	22	9	2015
Aransas_Bay	Bagre_marinus	U			467	529	15	2	22	9	2015
Aransas_Bay	Bagre_marinus	U			471	543	10	2	22	9	2015
Aransas_Bay	Bagre_marinus	U			471	552	10	2	22	9	2015
Aransas_Bay	Bagre_marinus	U			467	555	10	2	22	9	2015
Aransas_Bay	Bagre_marinus	U			354	427	10	4	22	9	2015
Aransas_Bay	Bagre_marinus	U			400	464	10	4	22	9	2015
Aransas_Bay	Bagre_marinus	U			442	514	10	4	22	9	2015
Aransas_Bay	Bagre_marinus	U			445	532	10	4	22	9	2015
Aransas_Bay	Bagre_marinus	U			441	540	10	4	22	9	2015
Aransas_Bay	Bagre_marinus	U			484	564	10	4	22	9	2015
Aransas_Bay	Bagre_marinus	U			478	565	10	4	22	9	2015
Aransas_Bay	Bagre_marinus	U					10	4	22	9	2015
Aransas_Bay	Bagre_marinus	U			329	378	10	1	25	5	2016
Aransas_Bay	Bagre_marinus	U			412	495	10	1	25	5	2016
Aransas_Bay	Bagre_marinus	U			431	506	10	1	25	5	2016
Aransas_Bay	Bagre_marinus	U			426	512	10	1	25	5	2016
Aransas_Bay	Bagre_marinus	U			443	521	10	1	25	5	2016
Aransas_Bay	Bagre_marinus	U			463	538	10	1	25	5	2016
Aransas_Bay	Bagre_marinus	U			450	543	10	1	25	5	2016
Aransas_Bay	Bagre_marinus	U			469	551	10	1	25	5	2016
Aransas_Bay	Bagre_marinus	U			488	555	10	1	25	5	2016
Aransas_Bay	Bagre_marinus	U			455	555	10	1	25	5	2016
Aransas_Bay	Bagre_marinus	U			489	557	10	1	25	5	2016
Aransas_Bay	Bagre_marinus	U			480	558	15	1	25	5	2016
Aransas_Bay	Bagre_marinus	U			479	561	10	1	25	5	2016
Aransas_Bay	Bagre_marinus	U			480	565	10	1	25	5	2016
Aransas_Bay	Bagre_marinus	U			484	572	10	1	25	5	2016
Aransas_Bay	Bagre_marinus	U			50	574	10	1	25	5	2016
Aransas_Bay	Bagre_marinus	U			496	575	15	1	25	5	2016
Aransas_Bay	Bagre_marinus	U			487	576	10	1	25	5	2016
Aransas_Bay	Bagre_marinus	U			493	576	10	1	25	5	2016
Aransas_Bay	Bagre_marinus	U			505	579	10	1	25	5	2016
Aransas_Bay	Bagre_marinus	U			480	579	10	1	25	5	2016
Aransas_Bay	Bagre_marinus	U			508	583	10	1	25	5	2016
Aransas_Bay	Bagre_marinus	U			505	584	10	1	25	5	2016
Aransas_Bay	Bagre_marinus	U			521	584	10	1	25	5	2016
Aransas_Bay	Bagre_marinus	U			512	592	15	1	25	5	2016
Aransas_Bay	Bagre_marinus	U			509	593	10	1	25	5	2016
Aransas_Bay	Bagre_marinus	U			503	593	15	1	25	5	2016
Aransas_Bay	Bagre_marinus	U			520	599	15	1	25	5	2016
Aransas_Bay	Bagre_marinus	U			524	608	15	1	25	5	2016
Aransas_Bay	Bagre_marinus	U			541	609	10	1	25	5	2016
Aransas_Bay	Bagre_marinus	U			397	480	10	2	25	5	2016
Aransas_Bay	Bagre_marinus	U			416	502	10	2	25	5	2016
