Animal_ID	Site	Species	Sex	Observed_Stage	PCL	FL	STL	Fin_Clip	Hook_Size	Set	Day	Month	Year
1	Redfish_Bay	Rhizoprionodon_terraenovae	M		351	378	433		15	1	29	7	2015
2	Redfish_Bay	Sphyrna_tiburo	F		470	430	600	A1	10	3	29	7	2015
3	Redfish_Bay	Hypanus_americanus	F				670	154	15	3	29	7	2015
4	Redfish_Bay	Hypanus_americanus	F				340		10	3	29	7	2015
5	Redfish_Bay	Hypanus_americanus	M				810		10	4	29	7	2015
6	Corpus_Christi_Bay	Carcharhinus_leucas	F		609	670	820	A2	15	1	30	7	2015
7	Corpus_Christi_Bay	Sphyrna_tiburo	M		495	485	615	A4	10	2	24	8	2015
8	Corpus_Christi_Bay	Sphyrna_tiburo	F		550	370	720	A3	10	2	24	8	2015
9	Corpus_Christi_Bay	Sphyrna_tiburo	M		470	505	645	A5	10	3	24	8	2015
10	Corpus_Christi_Bay	Sphyrna_tiburo	F		540	565	720	A7	10	3	24	8	2015
11	Corpus_Christi_Bay	Sphyrna_tiburo	M		610	630	800	A6	10	3	24	8	2015
12	Aransas_Bay	Carcharhinus_brevipinna	F		513	568	705	A9	10	2	25	8	2015
13	Aransas_Bay	Carcharhinus_brevipinna	F		545	602	757	B1	10	2	25	8	2015
14	Aransas_Bay	Carcharhinus_brevipinna	F		560	610	770		10	2	25	8	2015
15	Aransas_Bay	Carcharhinus_brevipinna	F		556	615	770	B2	15	2	25	8	2015
16	Aransas_Bay	Carcharhinus_brevipinna	F		580	637	790	A10	10	2	25	8	2015
17	Redfish_Bay	Sphyrna_tiburo	M		533	569	780	B4	10	1	8	9	2015
18	Redfish_Bay	Sphyrna_tiburo	M	MAT	622	668	850	B5	10	1	8	9	2015
19	Redfish_Bay	Sphyrna_tiburo	M	MAT	656	710	869	B3	10	1	8	9	2015
20	Redfish_Bay	Sphyrna_tiburo	F	MAT	708	770	979	B6	15	2	8	9	2015
21	Redfish_Bay	Rhizoprionodon_terraenovae	M		406	449	559		10	3	8	9	2015
22	Redfish_Bay	Sphyrna_tiburo	F		486	529	672		10	3	8	9	2015
