Lake ID	State	Station	Year	AirTemp_Mean_C	AirTemp_Max_C	AirTemp_Min_C	Rain_mm	Snow_mm	Source	Type
Prairie Pothole	North Dakota	USW00014919	1950	1.9	8.1	-4.2	656.8	2609	NOAA NCDC	LaNina
Prairie Pothole	North Dakota	USW00014919	1951	2.4	8.5	-3.8	438.8	1383	NOAA NCDC	Neutral
Prairie Pothole	North Dakota	USW00014919	1952	5	11.9	-1.9	334.8	1315	NOAA NCDC	Neutral
Prairie Pothole	North Dakota	USW00014919	1953	5.9	12.3	-0.4	733	906	NOAA NCDC	Neutral
Prairie Pothole	North Dakota	USW00014919	1954	5.3	11.7	-1.1	510.6	775	NOAA NCDC	LaNina
Prairie Pothole	North Dakota	USW00014919	1955	4.1	11	-2.7	516.2	584	NOAA NCDC	LaNina
Prairie Pothole	North Dakota	USW00014919	1956	4.1	10.5	-2.3	614.6	856	NOAA NCDC	LaNina
Prairie Pothole	North Dakota	USW00014919	1957	4.9	11.1	-1.3	519.9	553	NOAA NCDC	ElNino
Prairie Pothole	North Dakota	USW00014919	1958	5.2	11.9	-1.6	415.4	238	NOAA NCDC	Neutral
Prairie Pothole	North Dakota	USW00014919	1959	4.8	11.4	-1.8	491.1	536	NOAA NCDC	Neutral
Prairie Pothole	North Dakota	USW00014919	1960	4.4	11.3	-2.4	403.8	964	NOAA NCDC	Neutral
Prairie Pothole	North Dakota	USW00014919	1961	5.2	11.9	-1.5	363.2	402	NOAA NCDC	Neutral
Prairie Pothole	North Dakota	USW00014919	1962	4.6	10.8	-1.6	650.5	623	NOAA NCDC	LaNina
Prairie Pothole	North Dakota	USW00014919	1963	5.7	12.8	-1.4	291.3	519	NOAA NCDC	Neutral
Prairie Pothole	North Dakota	USW00014919	1964	4.6	11.4	-2.3	447.5	781	NOAA NCDC	LaNina
Prairie Pothole	North Dakota	USW00014919	1965	3.6	9.8	-2.6	518.7	761	NOAA NCDC	ElNino
Prairie Pothole	North Dakota	USW00014919	1966	3.7	10.2	-2.7	471.2	1055	NOAA NCDC	Neutral
Prairie Pothole	North Dakota	USW00014919	1967	4.4	11	-2.2	369.8	995	NOAA NCDC	Neutral
Prairie Pothole	North Dakota	USW00014919	1968	4.6	10.8	-1.5	428.9	535	NOAA NCDC	Neutral
Prairie Pothole	North Dakota	USW00014919	1969	4.1	10.1	-1.8	421.4	1216	NOAA NCDC	Neutral
Prairie Pothole	North Dakota	USW00014919	1970	4.2	10.4	-1.9	367.8	787	NOAA NCDC	LaNina
Prairie Pothole	North Dakota	USW00014919	1971	4.3	10.4	-1.9	417.2	700	NOAA NCDC	LaNina
Prairie Pothole	North Dakota	USW00014919	1972	3.7	9.6	-2.3	478.4	1210	NOAA NCDC	ElNino
Prairie Pothole	North Dakota	USW00014919	1973	6.2	12.2	0.2	398.7	373	NOAA NCDC	LaNina
Prairie Pothole	North Dakota	USW00014919	1974	4.9	11	-1.2	354.1	327	NOAA NCDC	LaNina
Prairie Pothole	North Dakota	USW00014919	1975	4.9	10.6	-0.8	602.6	1803	NOAA NCDC	LaNina
Prairie Pothole	North Dakota	USW00014919	1976	5.5	12.6	-1.6	243.2	942	NOAA NCDC	Neutral
Prairie Pothole	North Dakota	USW00014919	1977	5.4	11.4	-0.6	635.1	1160	NOAA NCDC	Neutral
Prairie Pothole	North Dakota	USW00014919	1978	4.2	10.3	-1.9	529.2	652	NOAA NCDC	Neutral
