date	method	gmsl
1880-01-16	gmsl_tide	-183
1880-02-16	gmsl_tide	-171.1
1880-03-17	gmsl_tide	-164.3
1880-04-17	gmsl_tide	-158.2
1880-05-17	gmsl_tide	-158.7
1880-06-17	gmsl_tide	-159.6
1880-07-17	gmsl_tide	-159.6
1880-08-17	gmsl_tide	-161.8
1880-09-16	gmsl_tide	-158.9
1880-10-17	gmsl_tide	-150.3
1880-11-16	gmsl_tide	-144.5
1880-12-17	gmsl_tide	-134.7
1881-01-16	gmsl_tide	-136.4
1881-02-16	gmsl_tide	-139.2
1881-03-18	gmsl_tide	-145.2
1881-04-17	gmsl_tide	-151.1
1881-05-18	gmsl_tide	-152.2
1881-06-17	gmsl_tide	-154.2
1881-07-18	gmsl_tide	-147.7
1881-08-17	gmsl_tide	-151.4
1881-09-17	gmsl_tide	-156
1881-10-17	gmsl_tide	-165.5
1881-11-16	gmsl_tide	-167.9
1881-12-17	gmsl_tide	-169.9
1882-01-16	gmsl_tide	-167.8
1882-02-16	gmsl_tide	-162
1882-03-18	gmsl_tide	-158.8
1882-04-17	gmsl_tide	-160.6
1882-05-18	gmsl_tide	-164.5
1882-06-17	gmsl_tide	-165.2
1882-07-18	gmsl_tide	-167.3
1882-08-17	gmsl_tide	-169
1882-09-17	gmsl_tide	-174.9
1882-10-17	gmsl_tide	-181.5
1882-11-16	gmsl_tide	-182.5
1882-12-17	gmsl_tide	-184.5
1883-01-16	gmsl_tide	-179.9
1883-02-16	gmsl_tide	-180
1883-03-18	gmsl_tide	-172.4
1883-04-17	gmsl_tide	-172.3
1883-05-18	gmsl_tide	-164
1883-06-17	gmsl_tide	-163.6
1883-07-18	gmsl_tide	-161.1
1883-08-17	gmsl_tide	-162
1883-09-17	gmsl_tide	-159.3
1883-10-17	gmsl_tide	-158.2
1883-11-16	gmsl_tide	-153.2
1883-12-17	gmsl_tide	-149.1
1884-01-16	gmsl_tide	-142.5
1884-02-16	gmsl_tide	-139.5
1884-03-17	gmsl_tide	-137
1884-04-17	gmsl_tide	-135.2
1884-05-17	gmsl_tide	-136
1884-06-17	gmsl_tide	-140
1884-07-17	gmsl_tide	-143.3
1884-08-17	gmsl_tide	-146.8
1884-09-16	gmsl_tide	-150.4
1884-10-17	gmsl_tide	-150.4
1884-11-16	gmsl_tide	-154
1884-12-17	gmsl_tide	-149.9
1885-01-16	gmsl_tide	-153.1
1885-02-16	gmsl_tide	-148.3
1885-03-18	gmsl_tide	-145.3
1885-04-17	gmsl_tide	-142.7
1885-05-18	gmsl_tide	-143.1
1885-06-17	gmsl_tide	-142.7
1885-07-18	gmsl_tide	-148.4
1885-08-17	gmsl_tide	-143.2
1885-09-17	gmsl_tide	-146.5
1885-10-17	gmsl_tide	-141.2
1885-11-16	gmsl_tide	-143.3
1885-12-17	gmsl_tide	-145.1
1886-01-16	gmsl_tide	-147.3
1886-02-16	gmsl_tide	-152.2
1886-03-18	gmsl_tide	-146.8
1886-04-17	gmsl_tide	-142
1886-05-18	gmsl_tide	-134.7
1886-06-17	gmsl_tide	-135.4
1886-07-18	gmsl_tide	-140.8
1886-08-17	gmsl_tide	-147.7
1886-09-17	gmsl_tide	-155.1
1886-10-17	gmsl_tide	-155.2
1886-11-16	gmsl_tide	-157.9
1886-12-17	gmsl_tide	-155.8
1887-01-16	gmsl_tide	-162.2
1887-02-16	gmsl_tide	-165.8
1887-03-18	gmsl_tide	-162.9
1887-04-17	gmsl_tide	-158.8
1887-05-18	gmsl_tide	-151.9
1887-06-17	gmsl_tide	-147.1
1887-07-18	gmsl_tide	-147.3
1887-08-17	gmsl_tide	-147.5
1887-09-17	gmsl_tide	-150.6
1887-10-17	gmsl_tide	-147.5
1887-11-16	gmsl_tide	-148.8
1887-12-17	gmsl_tide	-148
1888-01-16	gmsl_tide	-155.3
1888-02-16	gmsl_tide	-155.6
1888-03-17	gmsl_tide	-155
1888-04-17	gmsl_tide	-155.2
1888-05-17	gmsl_tide	-154.2
1888-06-17	gmsl_tide	-151.6
1888-07-17	gmsl_tide	-149
1888-08-17	gmsl_tide	-148.5
1888-09-16	gmsl_tide	-151.5
1888-10-17	gmsl_tide	-145
1888-11-16	gmsl_tide	-146
1888-12-17	gmsl_tide	-146
1889-01-16	gmsl_tide	-151.1
1889-02-16	gmsl_tide	-147.4
1889-03-18	gmsl_tide	-144.3
1889-04-17	gmsl_tide	-145
1889-05-18	gmsl_tide	-145.9
1889-06-17	gmsl_tide	-145.8
1889-07-18	gmsl_tide	-147
1889-08-17	gmsl_tide	-147.6
1889-09-17	gmsl_tide	-151.3
1889-10-17	gmsl_tide	-153.8
1889-11-16	gmsl_tide	-157.6
1889-12-17	gmsl_tide	-157.2
1890-01-16	gmsl_tide	-152.3
1890-02-16	gmsl_tide	-151.4
1890-03-18	gmsl_tide	-140
1890-04-17	gmsl_tide	-138.1
1890-05-18	gmsl_tide	-135.3
1890-06-17	gmsl_tide	-140.2
1890-07-18	gmsl_tide	-144.2
1890-08-17	gmsl_tide	-147.8
1890-09-17	gmsl_tide	-149.4
1890-10-17	gmsl_tide	-151.8
1890-11-16	gmsl_tide	-155.9
1890-12-17	gmsl_tide	-163.9
1891-01-16	gmsl_tide	-162.9
1891-02-16	gmsl_tide	-163.9
1891-03-18	gmsl_tide	-148.1
1891-04-17	gmsl_tide	-150.8
1891-05-18	gmsl_tide	-145.4
1891-06-17	gmsl_tide	-148.4
1891-07-18	gmsl_tide	-143.8
1891-08-17	gmsl_tide	-142.2
1891-09-17	gmsl_tide	-143.2
1891-10-17	gmsl_tide	-144.5
1891-11-16	gmsl_tide	-148.2
1891-12-17	gmsl_tide	-148.8
1892-01-16	gmsl_tide	-145.8
1892-02-16	gmsl_tide	-139.3
1892-03-17	gmsl_tide	-139.8
1892-04-17	gmsl_tide	-138.6
1892-05-17	gmsl_tide	-143.1
1892-06-17	gmsl_tide	-141.6
1892-07-17	gmsl_tide	-145.8
1892-08-17	gmsl_tide	-146.6
1892-09-16	gmsl_tide	-151.7
1892-10-17	gmsl_tide	-151.5
1892-11-16	gmsl_tide	-156.3
1892-12-17	gmsl_tide	-152.4
1893-01-16	gmsl_tide	-147.5
1893-02-16	gmsl_tide	-143.8
1893-03-18	gmsl_tide	-136.7
1893-04-17	gmsl_tide	-137.9
1893-05-18	gmsl_tide	-139.2
1893-06-17	gmsl_tide	-140.5
1893-07-18	gmsl_tide	-140.7
1893-08-17	gmsl_tide	-139
1893-09-17	gmsl_tide	-139
1893-10-17	gmsl_tide	-140.6
1893-11-16	gmsl_tide	-145.1
1893-12-17	gmsl_tide	-145.6
1894-01-16	gmsl_tide	-148.4
1894-02-16	gmsl_tide	-147.5
1894-03-18	gmsl_tide	-149.9
1894-04-17	gmsl_tide	-148.9
1894-05-18	gmsl_tide	-152.1
1894-06-17	gmsl_tide	-152.7
1894-07-18	gmsl_tide	-154.5
1894-08-17	gmsl_tide	-154.7
1894-09-17	gmsl_tide	-157.6
1894-10-17	gmsl_tide	-153.3
