Set_Number	Site	Hooks	Set	Day	Month	Year	Soak_Time	Latitude	Longitude	Surface_Temp	Surface_Salinity	Surface_DO	Bottom_Temp	Bottom_Salinity	Bottom_DO	Depth
70	Redfish_Bay	50	2	1	8	2016	1.85	27.81435	-97.15278	29.7	34.6	5.44	29.4	34.7	5.52	2.325684
94	Redfish_Bay	50	1	29	9	2016	1.28333	27.81278	-97.14734	27.8	30.3	6.2	28.1	33	2.82	2.489624
110	Redfish_Bay	50	1	6	6	2017	1.3	27.81307	-97.15566	28.6	31.8	5.38	28.7	31.8	5.23	2.59375
78	Redfish_Bay	45	1	23	8	2016	1.75	27.81054	-97.14349	30.2	37	5.42	30.2	37.1	5.3	2.660889
27	Redfish_Bay	50	3	8	9	2015	1.55	27.81231	-97.16561	30.9	29.87	5.24	30.8	35.52	6.05	2.668213
127	Redfish_Bay	50	1	11	8	2017	1.5	27.81303	-97.15721	31	38.1	5.24	31	38.3	4.64	2.6895
155	Aransas_Bay	50	3	15	5	2018	2.11667	27.97404	-97.0521	27.7	29.1		27.6	29.1		2.857178
111	Redfish_Bay	50	2	6	6	2017	1.6	27.80909	-97.15731	28.7	32.9	5.4	28.6	33	4.93	2.875122
178	Redfish_Bay	50	2	18	9	2018	1.48333	27.80852	-97.14516	27.8	29.5	6.58	27.9	31.4	2.57	2.90918
26	Redfish_Bay	50	2	8	9	2015	2.05	27.80853	-97.16278	29.8	33.89	4.66	30.3	35.52	4.16	2.912476
25	Redfish_Bay	50	1	8	9	2015	2.13333	27.8053	-97.16201	30.1	33.87	4.89	30.3	34.61	4.92	2.922241
115	Redfish_Bay	50	2	8	6	2017	1.63333	27.79885	-97.13212	29.6	30.9	5.29	29.4	31.9	4.56	2.931519
112	Redfish_Bay	50	3	6	6	2017	1.78333	27.80917	-97.14044	29	31.6	5.82	28.9	31.8	5.29	2.978394
47	Redfish_Bay	50	1	16	6	2016	1.81667	27.80835	-97.14393	29.7	27	6.13	29.8	27	5.95	2.9825
31	Redfish_Bay	44	3	7	10	2015	1.66667	27.80916	-97.14102	28.2	31.1	7.05	27.5	31.42	7.03	2.986328
199	Redfish_Bay	50	4	4	10	2018	2.61667	27.80386	-97.1547	29.4	31	6.63	29.4	31.1	6.57	2.990798
177	Redfish_Bay	50	1	18	9	2018	1.46667	27.80966	-97.15294	27.9	30.2	6.45	28.1	30.6	4.72	3.002441
113	Redfish_Bay	50	4	6	6	2017	2.18333	27.79754	-97.13665	29	31.8	5.25	28.8	32.1	5.03	3.0176
197	Redfish_Bay	50	2	4	10	2018	2.33333	27.80364	-97.15598	28.9	30.7	5.72	28.7	31.6	5.52	3.026245
28	Redfish_Bay	50	4	8	9	2015	1.63333	27.77468	-97.14722	30.8	33.27	6.22	30.1	33.71	4.61	3.0528
196	Redfish_Bay	41	1	4	10	2018	1.63333	27.80635	-97.16852	28.7	30.8	5.88	28.7	31.6	5.3	3.054321
48	Redfish_Bay	50	2	16	6	2016	1.93333	27.80516	-97.15121	27.7	26.9	5.85	29.7	27.1	5.48	3.055908
130	Redfish_Bay	50	4	11	8	2017	1.88333	27.79167	-97.13754	31.1	39.4	5.66	30.8	39.5	4.74	3.068
114	Redfish_Bay	50	1	8	6	2017	1.48333	27.79737	-97.13511	29.6	30.7	5.51	29.2	31.7	4.85	3.068604
170	Redfish_Bay	50	2	23	8	2018	1.95	27.7992	-97.15614	30.1	39.1	5.1	30.1	39.1	4.87	3.0882
200	Redfish_Bay	50	1	6	11	2018	1.45	27.80536	-97.15347	23.5	25.6	7.54	23.3	27	6.56	3.100342
128	Redfish_Bay	50	2	11	8	2017	1.5	27.79934	-97.16193	31.1	38.2	4.91	31	38.5	3.82	3.11853
179	Redfish_Bay	50	3	18	9	2018	1.73333	27.80397	-97.14468	29.2	30.3	6.22	28.1	32.7	4.44	3.137817
33	Aransas_Bay	50	1	25	5	2016	1.96667	27.97862	-97.04624							3.158813
198	Redfish_Bay	50	3	4	10	2018	1.85	27.79726	-97.13878	29.4	31.5	6.1	29.2	31.7	5.93	3.168091
6	Redfish_Bay	50	2	29	7	2015	2.96667	27.79683	-97.155	31.5	28.43	6.36	29.9	30.55	5.25	3.170166
117	Redfish_Bay	35	4	8	6	2017	2.55	27.80339	-97.14656	30.3	29.8	6.26	29.5	32.1	5.98	3.190796
168	Redfish_Bay	50	2	21	8	2018	1.18333	27.80225	-97.15013	30	38.8	5	29.9	38.9	4.45	3.19751
99	Aransas_Bay	50	2	23	5	2017	1.88333	27.95992	-97.03986	27.1	26.4	5.96	27.1	26.5	5.76	3.203003
106	Aransas_Bay	50	1	22	6	2017	1.86667	27.96852	-97.01051	29.4	28	5.7	29.4	29.1	5.6	3.232056
188	Aransas_Bay	50	3	4	9	2018	1.71667	27.9638	-97.01482	29.9	39.7	5.25	29.9	39.7	5.22	3.236816
32	Redfish_Bay	53	4	7	10	2015	1.76667	27.80361	-97.14094	28.1	31.95	8.29	27.8	31.45	8.24	3.237427
30	Redfish_Bay	46	2	7	10	2015	1.81667	27.7937	-97.14074	27.8	31.08	1.58	27.3	32.04	1.55	3.237549
21	Aransas_Bay	50	1	22	9	2015	1.81667	27.98219	-97.04182	28.9	22.67	5.78	28.9	24.1	5.99	3.238403
64	Aransas_Bay	50	1	28	7	2016	2.01667	27.95803	-97.04818	30.1	31.1	5.54	30.1	31.3	5.35	3.250244
156	Aransas_Bay	50	4	15	5	2018	1.56667	27.99005	-97.0517	27.9	29.2		27.8	29.3		3.260254
125	Corpus_Christi_Bay	50	4	6	7	2017	1.95	27.86322	-97.32499	31.3	34.1	6.35	31.3	34.1	6.22	3.26355
77	Aransas_Bay	50	5	10	8	2016	1.7	27.9866	-97.05852							3.263672
120	Aransas_Bay	50	3	11	7	2017	1.63333	27.96339	-97.04762	30.8	31.6	5.48	30.7	31.6	5.32	3.265747
135	Redfish_Bay	50	1	13	9	2017	1.53333	27.80158	-97.1416	26.8	27.9	6	26.8	28	5.74	3.266479
86	Aransas_Bay	50	1	22	9	2016	1.73333	27.9555	-97.04559	29.9	24.5	5.49	30.6	27.2	5.31	3.281128
53	Redfish_Bay	50	3	28	6	2016	1.65	27.7956	-97.1339	32.2	28.7	6.42	30.7	29.7	5.78	3.2853
85	Corpus_Christi_Bay	50	4	12	9	2016	1.28333	27.8567	-97.3356	31.4	33.9	5.43	30.4	34	4.7	3.2902
69	Redfish_Bay	46	1	1	8	2016	1.53333	27.80029	-97.17298	29.9	34.3	5.36	29.9	34.3	5.39	3.319824
129	Redfish_Bay	50	3	11	8	2017	1.65	27.78926	-97.1337	31	39.6	5.44	30.8	39.6	5.09	3.320679
7	Redfish_Bay	50	3	29	7	2015	2.03333	27.79322	-97.16142	32.1	28.32	7.11	28.6	33.12	5.69	3.321777
8	Redfish_Bay	50	4	29	7	2015	2.35	27.79322	-97.16142	32.1	27.98	7.15	29.1	32.59	5.37	3.321777
180	Redfish_Bay	50	4	18	9	2018	2.03333	27.79362	-97.16212	29.2	30	6.38	28	31.9	4.56	3.324829
186	Aransas_Bay	50	1	4	9	2018	1.98333	27.97552	-97.04156	29.5	39.5	4.93	29.6	39.5	4.84	3.326538
71	Redfish_Bay	50	3	1	8	2016	1.81667	27.79401	-97.16116	30.4	34.4	5.64	30.1	34.8	4.43	3.343628
29	Redfish_Bay	50	1	7	10	2015	1.85	27.79737	-97.16953	27.8	31.61	5.17	27.4	32.47	4.93	3.358276
109	Aransas_Bay	50	4	22	6	2017	2.31667	27.96644	-97.04902	30.7	30.3	5.31	29.7	31.4	5.19	3.360474
95	Redfish_Bay	50	2	29	9	2016	1.65	27.79917	-97.16999	27.7	29.4	6.3	28	31.5	5.3	3.3693
154	Aransas_Bay	50	2	15	5	2018	1.96667	27.97646	-97.0138	27.3	29.2		27.3	29.5		3.380249
73	Aransas_Bay	50	1	10	8	2016	1.78333	27.95708	-97.04108	31	34.3	5.3	30.8	35.3	4.48	3.382202
89	Aransas_Bay	50	4	22	9	2016	1.76667	27.98987	-97.04852	31.1	21.1	5.96	30.7	27.1	4.31	3.384033
164	Aransas_Bay	50	4	17	7	2018	1.56667	27.96838	-97.0479	30	31.9	5.88	29.9	32.4	4.75	3.408936
143	Aransas_Bay	50	3	18	10	2017	1.65	27.95755	-97.0415	23.7	15	7.62	24	16.5	6.27	3.41626
185	Aransas_Bay	50	1	27	9	2018	1.1	27.9831	-97.05184	28.6	21.1	5.8	28.7	21.2	5.75	3.420898
46	Aransas_Bay	50	4	13	6	2016	2.6	27.95605	-97.03825	28.99	11					3.422485
107	Aransas_Bay	50	2	22	6	2017	2.1	27.97972	-97.01681	29.5	23.3	5.85	29.6	30.4	5.16	3.429077
43	Aransas_Bay	50	1	13	6	2016	1.8	27.98473	-97.03768	28.78	10					3.439331
23	Aransas_Bay	50	3	22	9	2015	1.45	27.96314	-97.01943	29.2	25.3	5.37	28.8	25.42	5.44	3.461548
161	Aransas_Bay	50	1	17	7	2018	1.45	27.99117	-97.0358	29.9	33.8	5.4	29.8	34	5.25	3.476074
119	Aransas_Bay	50	2	11	7	2017	1.78333	27.98267	-97.01538							3.478394
76	Aransas_Bay	50	4	10	8	2016	1.55	27.9803	-97.05579	31.5	34.7	5.79	31.4	34.8	5.89	3.4814
18	Aransas_Bay	50	1	25	8	2015	1.93333	27.98016	-97.05341	31.6	33.53	6.07	30.9	34.24	5.16	3.486572
195	Aransas_Bay	50	2	30	10	2018	1.43333	27.98214	-97.05147	22.2	14.3	9.49	22.1	14.4	8.9	3.497925
167	Redfish_Bay	50	1	21	8	2018	1.53333	27.79792	-97.14297	29.8	39.9	5.1	29.8	39	5.03	3.500122
146	Redfish_Bay	50	2	20	10	2017	1.8	27.79534	-97.1436	24.6	25.3	6.25	24.8	27.3	4.86	3.501465
44	Aransas_Bay	50	2	13	6	2016	1.8	27.97006	-97.02521	28.9	10					3.51416
142	Aransas_Bay	50	2	18	10	2017	2.43333	27.97211	-97.018	23.2	14.4	7.14	23.3	14.6	6.85	3.516235
34	Aransas_Bay	50	2	25	5	2016	2.5	27.96469	-97.03837							3.520291
35	Aransas_Bay	48	3	25	5	2016	2.68333	27.96469	-97.03837							3.520291
163	Aransas_Bay	50	3	17	7	2018	1.28333	27.96838	-97.0359	30.2	31.8	6.11	29.8	33	5.51	3.524536
108	Aransas_Bay	50	3	22	6	2017	1.73333	27.96667	-97.02408	30.8	30.8	5.54	29.8	31	5.3	3.53064
189	Aransas_Bay	50	4	4	9	2018	2.08333	27.9665	-97.02523	30	39.5	6	29.8	39.6	5.51	3.544556
66	Aransas_Bay	50	3	28	7	2016	1.66667	27.97183	-97.03397	30.6	29	6.36	30.4	30.3	6.32	3.565552
75	Aransas_Bay	50	3	10	8	2016	1.46667	27.97748	-97.02961	31.6	34.5	5.82	31.6	34.7	5.79	3.572021
101	Aransas_Bay	50	4	23	5	2017	1.55	27.97243	-97.04299	27.3	25.5	6.52	27.2	25.8	6.45	3.576416
22	Aransas_Bay	50	2	22	9	2015	2.18333	27.97739	-97.03429	29	24.16	6.4	28.6	24.92	5.26	3.57666
144	Aransas_Bay	50	4	18	10	2017	1.83333	27.97457	-97.0455	24	15.2	8.4	23.6	15.4	7.72	3.586914
79	Redfish_Bay	50	2	23	8	2016	1.86667	27.79485	-97.17117	30	32.8	5.41	30	37	5.16	3.588135
169	Redfish_Bay	50	1	23	8	2018	1.85	27.79912	-97.17615	30.2	39.4	4.4	30.2	39.4	4.39	3.590454
20	Aransas_Bay	50	4	25	8	2015	2.08333	27.95701	-97.0286	31.6	33.95	6.75	30.1	34.08	5.23	3.591431
