Lake ID	State	Station	Year	AirTemp_Mean_C	Source	Type
Toolik	Alaska	Toolik Field Station	1988	-5.7	Toolik Environmental Data Center	LaNina
Toolik	Alaska	Toolik Field Station	1989	-8.3	Toolik Environmental Data Center	Neutral
Toolik	Alaska	Toolik Field Station	1990	-6.4	Toolik Environmental Data Center	Neutral
Toolik	Alaska	Toolik Field Station	1991	-4	Toolik Environmental Data Center	ElNino
Toolik	Alaska	Toolik Field Station	1992	-12.2	Toolik Environmental Data Center	ElNino
Toolik	Alaska	Toolik Field Station	1993	-2	Toolik Environmental Data Center	ElNino
Toolik	Alaska	Toolik Field Station	1994	-9.8	Toolik Environmental Data Center	Neutral
Toolik	Alaska	Toolik Field Station	1995	-7.8	Toolik Environmental Data Center	Neutral
Toolik	Alaska	Toolik Field Station	1996	-9.2	Toolik Environmental Data Center	Neutral
Toolik	Alaska	Toolik Field Station	1997	-8.5	Toolik Environmental Data Center	ElNino
Toolik	Alaska	Toolik Field Station	1998	-7	Toolik Environmental Data Center	ElNino
Toolik	Alaska	Toolik Field Station	1999	-10.6	Toolik Environmental Data Center	LaNina
Toolik	Alaska	Toolik Field Station	2000	-9	Toolik Environmental Data Center	Neutral
Toolik	Alaska	Toolik Field Station	2001	-7.9	Toolik Environmental Data Center	Neutral
Toolik	Alaska	Toolik Field Station	2002	-6.8	Toolik Environmental Data Center	ElNino
Toolik	Alaska	Toolik Field Station	2003	-7.9	Toolik Environmental Data Center	Neutral
Toolik	Alaska	Toolik Field Station	2004	-8	Toolik Environmental Data Center	Neutral
Toolik	Alaska	Toolik Field Station	2005	-8.6	Toolik Environmental Data Center	Neutral
Toolik	Alaska	Toolik Field Station	2006	-8.5	Toolik Environmental Data Center	Neutral
Toolik	Alaska	Toolik Field Station	2007	-7.5	Toolik Environmental Data Center	Neutral
Toolik	Alaska	Toolik Field Station	2008	-9.6	Toolik Environmental Data Center	Neutral
Toolik	Alaska	Toolik Field Station	2009	-7.7	Toolik Environmental Data Center	Neutral
Toolik	Alaska	Toolik Field Station	2010	-8.3	Toolik Environmental Data Center	LaNina
Toolik	Alaska	Toolik Field Station	2011	-8	Toolik Environmental Data Center	LaNina
Toolik	Alaska	Toolik Field Station	2012	-9.7	Toolik Environmental Data Center	Neutral
Toolik	Alaska	Toolik Field Station	2013	-8.8	Toolik Environmental Data Center	Neutral
Toolik	Alaska	Toolik Field Station	2014	-7.1	Toolik Environmental Data Center	Neutral
Toolik	Alaska	Toolik Field Station	2015	-7.1	Toolik Environmental Data Center	ElNino
Toolik	Alaska	Toolik Field Station	2016	-6.6	Toolik Environmental Data Center	ElNino
Toolik	Alaska	Toolik Field Station	2017	-6.7	Toolik Environmental Data Center	Neutral
