sample filter reads k_reads
S1_R1.fastq.gz reads.in 1000 1
S1_R1.fastq.gz trimmed 595 0.595
S1_R1.fastq.gz denoisedF 533 0.533
S1_R1.fastq.gz denoisedR 543 0.543
S1_R1.fastq.gz merged 491 0.491
S1_R1.fastq.gz rm_chimera 491 0.491
S10_R1.fastq.gz reads.in 1000 1
S10_R1.fastq.gz trimmed 365 0.365
S10_R1.fastq.gz denoisedF 313 0.313
S10_R1.fastq.gz denoisedR 316 0.316
S10_R1.fastq.gz merged 297 0.297
S10_R1.fastq.gz rm_chimera 297 0.297
S11_R1.fastq.gz reads.in 1000 1
S11_R1.fastq.gz trimmed 432 0.432
S11_R1.fastq.gz denoisedF 361 0.361
S11_R1.fastq.gz denoisedR 364 0.364
S11_R1.fastq.gz merged 275 0.275
S11_R1.fastq.gz rm_chimera 275 0.275
S12_R1.fastq.gz reads.in 1000 1
S12_R1.fastq.gz trimmed 546 0.546
S12_R1.fastq.gz denoisedF 507 0.507
S12_R1.fastq.gz denoisedR 507 0.507
S12_R1.fastq.gz merged 457 0.457
S12_R1.fastq.gz rm_chimera 457 0.457
S13_R1.fastq.gz reads.in 1000 1
S13_R1.fastq.gz trimmed 417 0.417
S13_R1.fastq.gz denoisedF 325 0.325
S13_R1.fastq.gz denoisedR 309 0.309
S13_R1.fastq.gz merged 277 0.277
S13_R1.fastq.gz rm_chimera 277 0.277
S14_R1.fastq.gz reads.in 1000 1
S14_R1.fastq.gz trimmed 229 0.229
S14_R1.fastq.gz denoisedF 182 0.182
S14_R1.fastq.gz denoisedR 177 0.177
S14_R1.fastq.gz merged 171 0.171
S14_R1.fastq.gz rm_chimera 171 0.171
S15_R1.fastq.gz reads.in 1000 1
S15_R1.fastq.gz trimmed 511 0.511
S15_R1.fastq.gz denoisedF 439 0.439
S15_R1.fastq.gz denoisedR 431 0.431
S15_R1.fastq.gz merged 396 0.396
S15_R1.fastq.gz rm_chimera 396 0.396
S16_R1.fastq.gz reads.in 1000 1
S16_R1.fastq.gz trimmed 481 0.481
S16_R1.fastq.gz denoisedF 379 0.379
S16_R1.fastq.gz denoisedR 367 0.367
S16_R1.fastq.gz merged 300 0.3
S16_R1.fastq.gz rm_chimera 300 0.3
S17_R1.fastq.gz reads.in 1000 1
S17_R1.fastq.gz trimmed 634 0.634
S17_R1.fastq.gz denoisedF 568 0.568
S17_R1.fastq.gz denoisedR 572 0.572
S17_R1.fastq.gz merged 524 0.524
S17_R1.fastq.gz rm_chimera 503 0.503
S18_R1.fastq.gz reads.in 1000 1
S18_R1.fastq.gz trimmed 606 0.606
S18_R1.fastq.gz denoisedF 557 0.557
S18_R1.fastq.gz denoisedR 560 0.56
S18_R1.fastq.gz merged 530 0.53
S18_R1.fastq.gz rm_chimera 530 0.53
S2_R1.fastq.gz reads.in 1000 1
S2_R1.fastq.gz trimmed 480 0.48
S2_R1.fastq.gz denoisedF 430 0.43
S2_R1.fastq.gz denoisedR 446 0.446
S2_R1.fastq.gz merged 424 0.424
S2_R1.fastq.gz rm_chimera 424 0.424
S20_R1.fastq.gz reads.in 1000 1
S20_R1.fastq.gz trimmed 614 0.614
S20_R1.fastq.gz denoisedF 552 0.552
S20_R1.fastq.gz denoisedR 575 0.575
S20_R1.fastq.gz merged 550 0.55
S20_R1.fastq.gz rm_chimera 550 0.55
S21_R1.fastq.gz reads.in 1000 1
S21_R1.fastq.gz trimmed 597 0.597
S21_R1.fastq.gz denoisedF 542 0.542
S21_R1.fastq.gz denoisedR 553 0.553
S21_R1.fastq.gz merged 506 0.506
S21_R1.fastq.gz rm_chimera 506 0.506
S22_R1.fastq.gz reads.in 1000 1
S22_R1.fastq.gz trimmed 537 0.537
S22_R1.fastq.gz denoisedF 463 0.463
S22_R1.fastq.gz denoisedR 470 0.47
S22_R1.fastq.gz merged 437 0.437
S22_R1.fastq.gz rm_chimera 437 0.437
S23_R1.fastq.gz reads.in 1000 1
S23_R1.fastq.gz trimmed 560 0.56
S23_R1.fastq.gz denoisedF 500 0.5
S23_R1.fastq.gz denoisedR 521 0.521
S23_R1.fastq.gz merged 494 0.494
S23_R1.fastq.gz rm_chimera 494 0.494
S24_R1.fastq.gz reads.in 1000 1
S24_R1.fastq.gz trimmed 599 0.599
S24_R1.fastq.gz denoisedF 538 0.538
S24_R1.fastq.gz denoisedR 555 0.555
S24_R1.fastq.gz merged 522 0.522
S24_R1.fastq.gz rm_chimera 522 0.522
S25_R1.fastq.gz reads.in 1000 1
S25_R1.fastq.gz trimmed 598 0.598
S25_R1.fastq.gz denoisedF 515 0.515
